,amount,timestamp,location,error_flag,reversal_executed,reversal_reason,hour,is_night,is_weekend,amount_log,sender_txn_count,sender_avg_amount_so_far,sender_std_amount_so_far,sender_seconds_since_last,sender_error_rate_so_far,beneficiary_txn_count_so_far,beneficiary_distinct_senders_so_far,is_new_beneficiary_for_sender,is_new_device_for_sender,is_new_location_for_sender,is_duplicate_like,channel_USSD,channel_mobile,channel_web,channel_ussd
amount,1.0,-0.0034002160635599895,0.00738749697925684,0.044938202126822174,0.004501451520723458,0.009282555868937135,0.01049381317958,-0.019100196946302214,-0.005191524600570071,0.6957257551353798,-0.0027546723261465947,0.5341670442235411,0.03243394736244427,-0.007447977707628755,-0.005076462806512394,-0.006999262118116064,-0.007185137931629896,-0.0005078838945995054,0.017839808945829594,0.015420335195150703,,-0.025546255385944353,0.019003875592297662,0.0008113647478440329,
timestamp,-0.0034002160635599895,1.0,-0.007059561068354813,-0.006258037316250306,-0.015844379814660248,-0.030572484200972024,0.005699425396685221,0.008272707280151542,0.011044624934287872,0.0020479454733269794,0.2818834222593498,0.004480825893267699,0.14258523219974636,0.16788025494019215,0.06321519203871635,0.23306443318073755,0.2374405133208168,-0.020151240655136612,-0.11799135143424351,-0.12548644764344177,,-0.0007846345337898953,-0.0026362605329686485,0.0035457196971342606,
location,0.00738749697925684,-0.007059561068354813,1.0,-0.006826645916911049,-0.011796427094043792,-0.005136767854239863,0.004839446268380545,0.015632217082135327,-0.0071635055787582875,-0.01548192067168151,0.03222558035142622,-0.02251457590733516,0.01726280864470251,-0.004496591138620477,-0.0024314004163642623,0.003459775359320363,0.0036430434815935735,0.0005244223643656353,-0.013919754950988896,-0.015687659017317074,,-0.011863046059462756,0.008903860085132451,0.0002904701467463384,
error_flag,0.044938202126822174,-0.006258037316250306,-0.006826645916911049,1.0,0.7222239252832955,0.38604577172619636,-0.05270631036957266,0.09707828541671881,0.09129743411933279,0.03760014632167362,-0.3617195216531732,0.04823115387730699,-0.6706238605895365,-0.23292015907622843,-0.0272238276526417,-0.2941477087772763,-0.3009446219734891,0.07048556805286722,0.7221880293867485,0.7172340638390032,,0.1077554127257133,-0.07343341559006626,-0.010776701493360772,
reversal_executed,0.004501451520723458,-0.015844379814660248,-0.011796427094043792,0.7222239252832955,1.0,0.4602847129860162,-0.03637529453386323,0.05333065771153725,0.042830776754492234,-0.007847615070252034,-0.3614072797390748,-0.010167489993066475,-0.6727677174025167,-0.23560576151754886,-0.03216020059746235,-0.2940828333176743,-0.30089110507722,0.07143911667980941,0.7216617193119893,0.7170085659163958,,0.07596073635723993,-0.05171368648205543,-0.007653987561291779,
reversal_reason,0.009282555868937135,-0.030572484200972024,-0.005136767854239863,0.38604577172619636,0.4602847129860162,1.0,-0.0195090098018525,0.02706129786181112,0.038771587829361284,-0.008186253194287339,-0.1935722520052039,-0.010400967894998834,-0.3581747193591937,-0.126266828235023,-0.011662072419057512,-0.15900922460769576,-0.1626433956234851,0.04226345207637685,0.3868002287775623,0.3844131560262989,,0.0745538442000234,-0.046171525224312525,-0.012524910472647591,
hour,0.01049381317958,0.005699425396685221,0.004839446268380545,-0.05270631036957266,-0.03637529453386323,-0.0195090098018525,1.0,-0.25592828355751424,5.7832814009236804e-05,0.007717446167955366,0.020286773455130795,0.012849523590152873,0.03443847061454791,0.014492320912912221,0.0011522440818398049,0.01523643768407559,0.015491871177120366,-0.005146523904686025,-0.036201409840704586,-0.03657786011127469,,0.002707566516509222,0.009336521497236565,-0.012497200352848974,
is_night,-0.019100196946302214,0.008272707280151542,0.015632217082135327,0.09707828541671881,0.05333065771153725,0.02706129786181112,-0.25592828355751424,1.0,-0.0015880854834702577,-0.014144792982196291,-0.03938948097607224,-0.01458087940954747,-0.06434393412147046,-0.022495455683711488,-0.009286876170733867,-0.02482802261227239,-0.025702775277751947,0.002240761641085326,0.06485784459314703,0.06688360289760704,,0.003242187507403087,-0.0021820985198130593,-0.00035420841523377814,
is_weekend,-0.005191524600570071,0.011044624934287872,-0.0071635055787582875,0.09129743411933279,0.042830776754492234,0.038771587829361284,5.7832814009236804e-05,-0.0015880854834702577,1.0,0.004668985403258393,-0.02678068359805029,0.005971482875096526,-0.04953140114154891,-0.01573665008099267,-0.0013187115323090991,-0.022784032284449633,-0.023270755149486507,0.005807538973075445,0.05590091166564722,0.05463224311614356,,-0.0060889616414157525,0.012274325859760028,-0.008274966269163535,
amount_log,0.6957257551353798,0.0020479454733269794,-0.01548192067168151,0.03760014632167362,-0.007847615070252034,-0.008186253194287339,0.007717446167955366,-0.014144792982196291,0.004668985403258393,1.0,-0.0034036454532832823,0.7540949779981173,-0.009924903771833115,-0.007102055974356047,-0.004502596470890073,-0.002682016185889164,-0.0027411535392407103,0.001874403850106034,0.011098802217992958,0.009975210150278097,,-0.01548767727796758,0.012259490424148405,-0.00031527108936313847,
