,count,unique,top,freq,mean,std,min,25%,50%,75%,max
amount,108736.0,,,,18992.18912099029,31152.751568249754,200.0,4793.46,10027.74,21031.3175,2403901.81
timestamp,108736.0,,,,1719715.123289435,9127.869390820857,1704067.0,1711779.75,1719721.0,1727612.0,1735602.0
location,108736.0,,,,4.848412669217186,2.7990111603327903,0.0,2.0,5.0,7.0,9.0
error_flag,108736.0,,,,0.3999963213655091,0.48989945035057586,0.0,0.0,0.0,1.0,1.0
reversal_executed,108736.0,,,,0.3999963213655091,0.48989945035057586,0.0,0.0,0.0,1.0,1.0
reversal_reason,108736.0,,,,2.799992642731018,1.8330318834693482,0.0,2.0,2.0,4.0,7.0
hour,108736.0,,,,11.23676611241907,7.117728804350642,0.0,5.0,11.0,18.0,23.0
is_night,108736.0,,,,0.4905918922895821,0.4999137784288309,0.0,0.0,0.0,1.0,1.0
is_weekend,108736.0,,,,0.31183784579164214,0.4632461303489494,0.0,0.0,0.0,1.0,1.0
amount_log,108736.0,,,,9.220471852332322,1.1140218954304772,5.303304908059076,8.475216363607306,9.213210249934129,9.953815462255783,14.692604145367405
sender_txn_count,108736.0,,,,9.907031709829312,18.517536310104603,1.0,1.0,2.0,11.0,210.0
sender_avg_amount_so_far,108736.0,,,,9.220003435195936,0.8406265780207335,5.645623560482669,8.831529114695702,9.211598822362626,9.587271908780405,13.298762497809184
sender_std_amount_so_far,108736.0,,,,0.5444323887628851,0.5794429866650623,0.0,0.0,0.36727652898902374,1.0737882786293285,4.269213909783178
sender_seconds_since_last,108736.0,,,,1078611.4168260742,2546045.691055381,0.0,0.0,28650.0,968955.0,30918900.0
sender_error_rate_so_far,108736.0,,,,0.027327727850294508,0.1167099761061355,0.0,0.0,0.0,0.0,1.0
beneficiary_txn_count_so_far,108736.0,,,,7.374926427310182,16.20433706879622,1.0,1.0,2.0,8.0,305.0
beneficiary_distinct_senders_so_far,108736.0,,,,7.212091671571513,15.434247031842038,1.0,1.0,2.0,7.0,280.0
is_new_beneficiary_for_sender,108736.0,,,,0.9902148322542672,0.09843529523656888,0.0,1.0,1.0,1.0,1.0
is_new_device_for_sender,108736.0,,,,0.52541936433196,0.49935573406368916,0.0,0.0,1.0,1.0,1.0
is_new_location_for_sender,108736.0,,,,0.5224856533254856,0.4994964363359845,0.0,0.0,1.0,1.0,1.0
is_duplicate_like,108736.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
channel_USSD,108736,2,False,88907,,,,,,,
channel_mobile,108736,2,True,56626,,,,,,,
channel_web,108736,2,False,76455,,,,,,,
channel_ussd,108736.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
